着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
1,1,1,アカネサス,牝3,53,池添謙一,1:10.0,,**,2-2,36.6,2.8,1,480(-12),,,,[西]浅見秀一,林正道,"1,541.3"
2,3,5,デピュティプライム,セ6,57,ルメール,1:10.2,1,**,6-7,36.3,9.7,5,484(+6),,,,[東]小島茂之,丸山担,611.8
3,2,3,ガンケン,牡3,55,内田博幸,1:10.3,1/2,**,14-14,35.2,16.1,6,518(+8),,,,[西]宮本博,岡浩二,385.9
4,1,2,エタニティーワルツ,牡6,57,丸田恭介,1:10.3,アタマ,**,3-3,36.7,87.6,12,504(+14),,,,[東]大和田成,村島昭男,230.0
5,5,9,ショウナンガナドル,牡3,55,横山典弘,1:10.3,クビ,**,6-5,36.5,3.4,2,478(-2),,,,[東]田中剛,国本哲秀,150.0
6,6,12,ホイールバーニング,牡6,57,松岡正海,1:10.4,クビ,**,13-13,35.9,41.0,9,524(-2),,,,[西]牧田和弥,市川義美ホールディングス,
7,8,16,オーロリンチェ,牝4,55,江田照男,1:10.4,ハナ,**,1-1,37.1,7.4,4,482(+2),,,,[東]高木登,岡田牧雄,
8,8,15,タフチョイス,牡4,57,鮫島良太,1:10.4,クビ,**,3-3,36.9,6.9,3,490(-2),,,,[西]角田晃一,ゴドルフィン,
9,6,11,トッカータ,牡4,57,武藤雅,1:10.5,クビ,**,15-15,35.0,56.3,11,488(+4),,,,[東]和田雄二,門野重雄,
10,5,10,ボクノナオミ,牝7,55,菊沢一樹,1:10.6,3/4,**,9-11,36.5,96.3,13,502(+6),,,,[西]寺島良,塩澤正樹,
11,4,7,グラスレオ,牡4,57,田辺裕信,1:10.6,アタマ,**,5-5,36.9,32.1,7,498(-6),,,,[東]尾形和幸,半沢,
12,3,6,ティアップサンダー,牡7,57,黛弘人,1:10.7,クビ,**,11-7,36.4,177.1,15,492(0),,,,[東]奥平雅士,田中昇,
13,7,14,ステラルーチェ,牡7,57,武士沢友,1:10.7,クビ,**,11-12,36.3,53.5,10,480(+2),,,,[東]蛯名利弘,池田草龍,
14,7,13,サウンドジャンゴ,牡7,57,野中悠太,1:10.7,アタマ,**,9-7,36.6,113.9,14,522(-6),,,,[東]和田正一,増田雄一,
15,2,4,レヴァンテライオン,セ5,57,福永祐一,1:11.0,1.1/2,**,6-7,37.2,32.1,8,496(+4),,,,[東]加藤士津,ライオンレースホース,
除,4,8,ナムラムート,牡5,57,Ｍ．デム,,,**,,,---,,500(-12),,,,[西]森田直行,奈村睦弘,
