,着,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,タイム指数,通過,上り,単勝,人気,馬体重,調教タイム,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金
0,1,3,6,オムニプレゼンス,牝2,54.0,三浦皇成,1:36.2,,**,6-6-6,35.6,8.2,3.0,438(-4),,,,[東]国枝栄,ゴドルフィン,500.0
1,2,5,10,ソスピタ,牝2,53.0,野中悠太,1:36.2,クビ,**,4-4-3,35.8,5.3,2.0,442(0),,,,[東]畠山吉宏,ビッグレッドファーム,200.0
2,3,1,2,ミルキーハート,牝2,54.0,木幡巧也,1:36.3,クビ,**,2-3-1,36.1,8.6,4.0,450(0),,,,[東]牧光二,伊東純一,130.0
3,4,8,15,アイルショウユー,牝2,54.0,大野拓弥,1:36.7,2.1/2,**,4-4-3,36.2,47.4,9.0,428(-4),,,,[東]岩戸孝樹,ミルファーム,75.0
4,5,4,8,ハローキャンディ,牝2,54.0,吉田隼人,1:36.9,1.1/2,**,13-12-12,35.8,106.0,13.0,430(-4),,,,[東]久保田貴,中西純穂,50.0
5,6,3,5,オウケンアマゾネス,牝2,54.0,北村宏司,1:37.2,1.3/4,**,6-6-9,36.5,27.7,7.0,428(+4),,,,[東]和田勇介,福井明,
6,7,5,9,アテザムール,牝2,54.0,石橋脩,1:37.3,1/2,**,9-9-6,36.5,16.6,6.0,472(+2),,,,[東]大竹正博,寺田心平,
7,8,1,1,サノマナ,牝2,53.0,横山武史,1:37.5,1.1/2,**,1-2-3,37.8,39.2,8.0,456(-4),,,,[東]栗田徹,佐野信幸,
8,9,2,4,クルワールデジール,牝2,54.0,丹内祐次,1:37.5,クビ,**,10-10-10,36.6,160.2,14.0,462(+8),,,,[東]宗像義忠,鈴木芳夫,
9,10,8,16,ピンポンダッシュ,牝2,54.0,的場勇人,1:37.7,1,**,2-1-2,38.0,51.8,10.0,420(0),,,,[東]的場均,長谷川守正,
10,11,7,14,スキニチーノ,牝2,54.0,江田照男,1:37.9,1,**,6-6-6,37.3,249.2,15.0,466(-8),,,,[東]石毛善彦,ミルファーム,
11,12,6,11,デュアルネイチャー,牝2,54.0,内田博幸,1:38.1,1.1/4,**,14-14-14,36.3,11.4,5.0,438(-14),,,,[東]国枝栄,Ｇ１レーシング,
12,13,4,7,エクメディノツルギ,牝2,51.0,菅原明良,1:38.6,3,**,10-10-10,37.7,73.8,11.0,432(-4),,,,[東]深山雅史,橋本慎太郎,
13,14,7,13,ヨネンサンクミ,牝2,52.0,木幡育也,1:38.6,ハナ,**,10-12-12,37.5,78.5,12.0,420(+8),,,,[東]佐藤吉勝,藤本彰,
14,15,6,12,デラベッピン,牝2,51.0,小林凌大,1:38.8,1.1/2,**,14-14-15,37.0,425.2,16.0,428(+2),,,,[東]浅野洋一,大田恭充,
15,中,2,3,ファートゥア,牝2,54.0,福永祐一,,,**,,,2.1,1.0,478(+16),,,,[東]手塚貴久,サンデーレーシング,
0,1,3,5,グラスボイジャー,牡3,55.0,木幡巧也,1:11.2,,**,1-1,36.9,5.1,2.0,532(-8),,,,[東]牧光二,半沢,750.0
1,2,1,2,シルバーストーン,牡5,57.0,丸田恭介,1:11.4,1.1/2,**,4-3,36.7,16.4,5.0,494(-6),,,,[東]石栗龍彦,峰哲馬,300.0
2,3,2,4,マノアフォールズ,牡3,55.0,大野拓弥,1:12.0,3.1/2,**,10-8,36.9,16.7,6.0,470(+2),,,,[東]斎藤誠,吉田勝己,190.0
3,4,6,11,ドゥモワゼル,牝5,52.0,菅原明良,1:12.1,1/2,**,4-3,37.4,37.9,8.0,458(-2),,,,[東]粕谷昌央,小田切統二,110.0
4,5,2,3,エナグリン,牡4,56.0,野中悠太,1:12.1,アタマ,**,13-13,36.4,28.8,7.0,472(-2),,,,[東]伊藤大士,宮原廣伸,75.0
5,6,4,7,メープルリキュール,牝4,55.0,森泰斗,1:12.2,3/4,**,2-2,37.8,6.4,3.0,444(-2),,,,[東]竹内正洋,社台レースホース,
6,7,7,13,ウメタロウ,牡4,57.0,江田照男,1:12.3,クビ,**,14-14,36.4,44.1,9.0,484(+2),,,,[東]伊藤大士,ミルファーム,
7,8,1,1,アイムソーグレイト,牡3,55.0,三浦皇成,1:12.3,クビ,**,7-6,37.3,7.6,4.0,460(+2),,,,[東]藤原辰雄,平井裕,
8,9,8,16,タイドオブハピネス,牡3,52.0,藤田菜七,1:12.8,3,**,11-10,37.2,66.4,10.0,452(-12),,,,[東]黒岩陽一,ノルマンディーサラブレッドレーシング,
9,10,6,12,マロンクルール,牝3,52.0,菊沢一樹,1:13.0,1.1/4,**,7-8,38.0,307.3,15.0,412(-2),,,,[東]堀井雅広,ノルマンディーサラブレッドレーシング,
10,11,4,8,チェンマイルージュ,牝3,52.0,武藤雅,1:13.1,1/2,**,16-16,36.1,81.3,11.0,452(-4),,,,[東]田村康仁,ディアレストクラブ,
11,12,5,9,バームブラック,牝3,53.0,丹内祐次,1:13.2,1/2,**,6-7,38.4,83.5,12.0,434(+2),,,,[東]清水英克,サラブレッドクラブ・ラフィアン,
12,13,8,15,パンドラ,牝3,53.0,内田博幸,1:13.3,1/2,**,15-15,37.3,122.4,13.0,418(+2),,,,[東]加藤征弘,Ｊ．ウー,
13,14,3,6,ブルーミングブーケ,牝3,53.0,柴田大知,1:13.4,1/2,**,11-10,37.9,253.9,14.0,476(0),,,,[東]稲垣幸雄,コロンバスサークル,
14,15,5,10,ゴールドクロス,牡4,57.0,丸山元気,1:13.4,クビ,**,3-3,38.8,1.9,1.0,482(0),,,,[東]小西一男,河内孝夫,
15,16,7,14,クリノベイクイーン,牝3,50.0,山田敬士,1:13.6,1,**,7-10,38.7,438.4,16.0,468(+2),,,,[東]星野忍,栗本博晴,
0,1,8,8,グリニッジシチー,セ3,54.0,石川裕紀,1:53.6,,**,3-3-3-2,37.8,4.2,2.0,466(-14),,,,[東]相沢郁,友駿ホースクラブ,750.0
1,2,5,5,キングスバレイ,牡3,54.0,木幡巧也,1:54.0,2.1/2,**,5-4-4-3,38.0,1.6,1.0,508(-4),,,,[東]斎藤誠,村野康司,300.0
2,3,4,4,トレイントレイン,牡3,54.0,西田雄一,1:54.2,1.1/2,**,1-1-1-1,38.7,17.3,5.0,510(-8),,,,[東]池上昌和,ＭＭＣ,190.0
3,4,1,1,ゴールドパッション,牡4,57.0,森泰斗,1:54.5,1.3/4,**,6-6-4-4,38.6,13.1,4.0,520(+1),,,,[東]青木孝文,居城寿与,110.0
4,5,7,7,ゲンパチシャドウ,牡3,54.0,江田照男,1:55.1,3.1/2,**,6-6-7-6,38.6,43.8,8.0,464(+2),,,,[東]田村康仁,平野武志,75.0
5,6,3,3,ローリエテソーロ,牡3,51.0,菅原明良,1:56.1,6,**,8-9-7-6,39.6,17.8,6.0,512(+6),,,,[東]高木登,了徳寺健二ホールディングス,
6,7,8,9,ゴーアブロード,牡3,51.0,山田敬士,1:56.3,1,**,8-8-9-8,39.6,202.4,9.0,496(+4),,,,[東]大江原哲,ミルファーム,
7,8,6,6,アウレット,牝3,52.0,内田博幸,1:57.5,7,**,2-2-2-4,41.9,22.4,7.0,442(-12),,,,[東]高橋祥泰,ゴドルフィン,
8,9,2,2,ジュンアサヒダケ,牡3,53.0,武藤雅,1:57.8,2,**,3-4-6-9,41.5,6.4,3.0,500(-2),,,,[東]高柳瑞樹,河合純二,
